Season,Team,Date,Next Day,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Time Fixed,Query,Query2
2021/2022,Arsenal,2022-04-23,2022-04-24,12:30 ,Matchweek 34,Sat,Home,W,3,1,Manchester Utd,2.2,2.1,55,"60,223",Martin Ødegaard,4-2-3-1,Craig Pawson,Match Report,,04-23-2022 12:30 ,Arsenal until:2022-04-23,Arsenal until:2022-04-24
2021/2022,Tottenham,2022-04-23,2022-04-24,17:30 ,Matchweek 34,Sat,Away,D,0,0,Brentford,0.7,0.8,55,"17,072",Hugo Lloris,3/4/2003,Martin Atkinson,Match Report,,04-23-2022 17:30 ,Tottenham until:2022-04-23,Tottenham until:2022-04-24
2021/2022,Arsenal,2022-04-20,2022-04-21,19:45 ,Matchweek 25,Wed,Away,W,4,2,Chelsea,2.5,0.7,34,"32,249",Martin Ødegaard,4-2-3-1,Jonathan Moss,Match Report,,04-20-2022 19:45 ,Arsenal until:2022-04-20,Arsenal until:2022-04-21
2021/2022,Arsenal,2022-04-16,2022-04-17,15:00 ,Matchweek 33,Sat,Away,L,0,1,Southampton,1.7,0.7,75,"31,465",Martin Ødegaard,4/3/2003,Peter Bankes,Match Report,,04-16-2022 15:00 ,Arsenal until:2022-04-16,Arsenal until:2022-04-17
2021/2022,Tottenham,2022-04-16,2022-04-17,12:30 ,Matchweek 33,Sat,Home,L,0,1,Brighton,0.4,0.7,48,"58,685",Hugo Lloris,3/4/2003,Craig Pawson,Match Report,,04-16-2022 12:30 ,Tottenham until:2022-04-16,Tottenham until:2022-04-17
2021/2022,Arsenal,2022-04-09,2022-04-10,15:00 ,Matchweek 32,Sat,Home,L,1,2,Brighton,1.8,0.5,63,"60,112",Alexandre Lacazette,4-2-3-1,David Coote,Match Report,,04-09-2022 15:00 ,Arsenal until:2022-04-09,Arsenal until:2022-04-10
2021/2022,Tottenham,2022-04-09,2022-04-10,17:30 ,Matchweek 32,Sat,Away,W,4,0,Aston Villa,1,1.6,49,"41,949",Hugo Lloris,3/4/2003,Graham Scott,Match Report,,04-09-2022 17:30 ,Tottenham until:2022-04-09,Tottenham until:2022-04-10
2021/2022,Arsenal,2022-04-04,2022-04-05,20:00 ,Matchweek 31,Mon,Away,L,0,3,Crystal Palace,0.8,1.6,67,"25,149",Alexandre Lacazette,4-2-3-1,Paul Tierney,Match Report,,04-04-2022 20:00 ,Arsenal until:2022-04-04,Arsenal until:2022-04-05
2021/2022,Tottenham,2022-04-03,2022-04-04,16:30 ,Matchweek 31,Sun,Home,W,5,1,Newcastle Utd,3.1,0.6,61,"57,553",Hugo Lloris,3/4/2003,Martin Atkinson,Match Report,,04-03-2022 16:30 ,Tottenham until:2022-04-03,Tottenham until:2022-04-04
2021/2022,Tottenham,2022-03-20,2022-03-21,16:30 ,Matchweek 30,Sun,Home,W,3,1,West Ham,2.5,0.6,53,"58,685",Hugo Lloris,3/4/2003,Anthony Taylor,Match Report,,03-20-2022 16:30 ,Tottenham until:2022-03-20,Tottenham until:2022-03-21
2021/2022,Arsenal,2022-03-19,2022-03-20,12:30 ,Matchweek 30,Sat,Away,W,1,0,Aston Villa,1.3,0.4,54,"41,956",Alexandre Lacazette,4/3/2003,Andy Madley,Match Report,,03-19-2022 12:30 ,Arsenal until:2022-03-19,Arsenal until:2022-03-20
